Class1,Class2,Score
http://www.hozo.jp/owl/EXPOApr19.xml/hasAttribute,http://www.w3.org/ns/prov#wasAttributedTo,0.85
http://www.hozo.jp/owl/EXPOApr19.xml/Image,https://w3id.org/reproduceme#Image,1
http://www.hozo.jp/owl/EXPOApr19.xml/Entity,http://purl.org/net/p-plan#Entity,0.7
http://www.hozo.jp/owl/EXPOApr19.xml/Author,https://w3id.org/reproduceme#Author,1
http://www.hozo.jp/owl/EXPOApr19.xml/Role,http://www.w3.org/ns/prov#Role,0.85
http://purl.org/isaterms/has_part,http://www.obofoundry.org/ro/ro.owl#has_part,1
http://purl.org/isaterms/material_entity,http://www.ifomis.org/bfo/1.1/snap#MaterialEntity,1
http://purl.org/isaterms/author,http://purl.obolibrary.org/obo/OGI.owl#Author,1
http://purl.org/isaterms/publication,http://purl.org/net/SMARTprotocol#Publication,1
http://purl.org/isaterms/file,https://w3id.org/reproduceme#File,1
http://purl.org/isaterms/measurement,https://w3id.org/reproduceme#Measurement,1
http://purl.org/isaterms/protocol,https://w3id.org/reproduceme#Protocol,1
http://purl.org/isaterms/parameter,https://w3id.org/reproduceme#Parameter,1
http://purl.org/isaterms/publication,https://w3id.org/reproduceme#Publication,1
http://purl.org/isaterms/unit,https://w3id.org/reproduceme#Unit,1
http://purl.org/isaterms/author,https://w3id.org/reproduceme#Author,1
http://purl.org/isaterms/study,https://w3id.org/reproduceme#Study,1
http://purl.org/isaterms/assay,https://w3id.org/reproduceme#Assay,1
http://purl.org/isaterms/person,http://www.w3.org/ns/prov#Person,1
http://purl.org/isaterms/source,https://w3id.org/reproduceme#Source,1
http://purl.org/isaterms/description,https://w3id.org/reproduceme#Description,1
http://purl.org/isaterms/identifier,http://purl.org/net/SMARTprotocol#ProtocolIdentifier,0.7
http://purl.org/isaterms/is_identifier_of,http://purl.org/net/SMARTprotocol#hasIdentifier,0.85
http://purl.org/isaterms/publication,http://purl.org/net/SMARTprotocol#Publication,1
http://purl.org/isaterms/author,http://purl.obolibrary.org/obo/OGI.owl#Author,1
http://purl.org/isaterms/has_part,http://www.obofoundry.org/ro/ro.owl#has_part,1
http://purl.org/isaterms/measurement,http://semanticscience.org/resource/SIO_000070,0.7
http://purl.org/isaterms/name,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42614,0.85
http://purl.org/isaterms/material_entity,http://www.ifomis.org/bfo/1.1/snap#MaterialEntity,1
http://www.hozo.jp/owl/EXPOApr19.xml/Author,http://purl.org/isaterms/author,1
http://www.hozo.jp/owl/EXPOApr19.xml/Sample,http://purl.org/isaterms/sample,1
http://www.hozo.jp/owl/EXPOApr19.xml/Title,http://purl.org/isaterms/title,1
http://www.hozo.jp/owl/EXPOApr19.xml/hasPart,http://purl.org/isaterms/has_part,1
http://purl.org/isaterms/has_part,http://www.obofoundry.org/ro/ro.owl#has_part,1
http://purl.org/isaterms/is_identifier_of,http://purl.org/net/SMARTprotocol#hasIdentifier,0.85
http://purl.org/isaterms/author,http://purl.obolibrary.org/obo/OGI.owl#Author,1
http://purl.org/isaterms/material_entity,http://www.ifomis.org/bfo/1.1/snap#MaterialEntity,1
http://purl.org/isaterms/name,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42614,0.85
http://purl.org/isaterms/publication,http://purl.org/net/SMARTprotocol#Publication,1
http://www.hozo.jp/owl/EXPOApr19.xml/Software,https://w3id.org/reproduceme#Software,1
http://www.hozo.jp/owl/EXPOApr19.xml/Organization,http://www.w3.org/ns/prov#Organization,1
http://www.hozo.jp/owl/EXPOApr19.xml/QualityControl,https://w3id.org/reproduceme#QualityControl,1
http://www.hozo.jp/owl/EXPOApr19.xml/StandardOperatingProcedure,https://w3id.org/reproduceme#StandardOperatingProcedure,1
http://www.hozo.jp/owl/EXPOApr19.xml/Model,https://w3id.org/reproduceme#Model,1
http://www.hozo.jp/owl/EXPOApr19.xml/Author,https://w3id.org/reproduceme#Author,1
http://www.hozo.jp/owl/EXPOApr19.xml/Image,https://w3id.org/reproduceme#Image,1
http://www.hozo.jp/owl/EXPOApr19.xml/Collection,http://www.w3.org/ns/prov#Collection,1
http://www.hozo.jp/owl/EXPOApr19.xml/Author,http://purl.org/isaterms/author,1
http://www.hozo.jp/owl/EXPOApr19.xml/Sample,http://purl.org/isaterms/sample,1
http://www.hozo.jp/owl/EXPOApr19.xml/hasPart,http://purl.org/isaterms/has_part,1
http://www.hozo.jp/owl/EXPOApr19.xml/Title,http://purl.org/isaterms/title,1
http://www.hozo.jp/owl/EXPOApr19.xml/Organization,http://purl.org/isaterms/organisation,0.85
http://www.hozo.jp/owl/EXPOApr19.xml/Process,http://purl.org/isaterms/process,0.85
http://www.hozo.jp/owl/EXPOApr19.xml/Name,http://purl.org/isaterms/name,0.85
http://purl.org/isaterms/author,https://w3id.org/reproduceme#Author,1
http://purl.org/isaterms/has_value,http://www.w3.org/ns/prov#value,0.85
http://purl.org/isaterms/has_part,https://w3id.org/reproduceme#hasPart,0.85
http://purl.org/isaterms/description,https://w3id.org/reproduceme#Description,1
http://purl.org/isaterms/measurement,https://w3id.org/reproduceme#Measurement,1
http://purl.org/isaterms/file,https://w3id.org/reproduceme#File,1
http://purl.org/isaterms/publication,https://w3id.org/reproduceme#Publication,1
http://purl.org/isaterms/source,https://w3id.org/reproduceme#Source,1
http://purl.org/isaterms/sample,https://w3id.org/reproduceme#WellSample,0.85
http://purl.org/isaterms/study,https://w3id.org/reproduceme#Study,1
http://purl.org/isaterms/has_member,http://www.w3.org/ns/prov#hadMember,0.85
http://purl.org/isaterms/organisation,http://www.w3.org/ns/prov#Organization,0.85
http://purl.org/isaterms/person,http://www.w3.org/ns/prov#Person,1
http://purl.org/isaterms/protocol,https://w3id.org/reproduceme#Protocol,1
http://purl.org/isaterms/assay,https://w3id.org/reproduceme#Assay,1
http://purl.org/isaterms/parameter,https://w3id.org/reproduceme#Parameter,1
http://purl.org/isaterms/unit,https://w3id.org/reproduceme#Unit,1
http://purl.org/isaterms/author,https://w3id.org/reproduceme#Author,1
http://purl.org/isaterms/unit,https://w3id.org/reproduceme#Unit,1
http://purl.org/isaterms/sample,https://w3id.org/reproduceme#WellSample,0.85
http://purl.org/isaterms/assay,https://w3id.org/reproduceme#Assay,1
http://purl.org/isaterms/description,https://w3id.org/reproduceme#Description,1
http://purl.org/isaterms/source,https://w3id.org/reproduceme#Source,1
http://purl.org/isaterms/protocol,https://w3id.org/reproduceme#Protocol,1
http://purl.org/isaterms/parameter,https://w3id.org/reproduceme#Parameter,1
http://purl.org/isaterms/publication,https://w3id.org/reproduceme#Publication,1
http://purl.org/isaterms/organisation,http://www.w3.org/ns/prov#Organization,0.85
http://purl.org/isaterms/has_member,http://www.w3.org/ns/prov#hadMember,0.85
http://purl.org/isaterms/person,http://www.w3.org/ns/prov#Person,1
http://purl.org/isaterms/has_part,https://w3id.org/reproduceme#hasPart,0.85
http://purl.org/isaterms/measurement,https://w3id.org/reproduceme#Measurement,1
http://purl.org/isaterms/study,https://w3id.org/reproduceme#Study,1
http://purl.org/isaterms/has_value,http://www.w3.org/ns/prov#value,0.85
http://purl.org/isaterms/file,https://w3id.org/reproduceme#File,1
http://purl.org/isaterms/raw_data_file,https://w3id.org/reproduceme#RawData,0.7
http://www.hozo.jp/owl/EXPOApr19.xml/Variable,http://purl.org/net/p-plan#Variable,0.85
http://www.hozo.jp/owl/EXPOApr19.xml/Role,http://www.w3.org/ns/prov#Role,0.85
http://www.hozo.jp/owl/EXPOApr19.xml/StandardOperatingProcedure,https://w3id.org/reproduceme#StandardOperatingProcedure,1
http://www.hozo.jp/owl/EXPOApr19.xml/Organization,http://www.w3.org/ns/prov#Organization,1
http://www.hozo.jp/owl/EXPOApr19.xml/Image,https://w3id.org/reproduceme#Image,1
http://www.hozo.jp/owl/EXPOApr19.xml/Model,https://w3id.org/reproduceme#Model,1
http://www.hozo.jp/owl/EXPOApr19.xml/Author,https://w3id.org/reproduceme#Author,1
http://www.hozo.jp/owl/EXPOApr19.xml/Sample,https://w3id.org/reproduceme#WellSample,0.85
http://www.hozo.jp/owl/EXPOApr19.xml/QualityControl,https://w3id.org/reproduceme#QualityControl,1
http://www.hozo.jp/owl/EXPOApr19.xml/Agent,http://www.w3.org/ns/prov#Agent,0.85
http://www.hozo.jp/owl/EXPOApr19.xml/Entity,http://www.w3.org/ns/prov#Entity,0.85
http://www.hozo.jp/owl/EXPOApr19.xml/IDExperiment,https://w3id.org/reproduceme#Experiment,0.85
http://www.hozo.jp/owl/EXPOApr19.xml/Collection,http://www.w3.org/ns/prov#Collection,1
http://www.hozo.jp/owl/EXPOApr19.xml/Software,https://w3id.org/reproduceme#Software,1
http://www.hozo.jp/owl/EXPOApr19.xml/has_method,https://w3id.org/reproduceme#usedMethod,0.85
http://www.hozo.jp/owl/EXPOApr19.xml/hasAttribute,http://www.w3.org/ns/prov#wasAttributedTo,0.85
http://www.hozo.jp/owl/EXPOApr19.xml/has_reference,https://w3id.org/reproduceme#reference,0.85
http://www.hozo.jp/owl/EXPOApr19.xml/Plan,http://purl.org/net/p-plan#Plan,0.85
http://www.hozo.jp/owl/EXPOApr19.xml/hasPart,https://w3id.org/reproduceme#hasPart,0.85
http://purl.org/isaterms/material_entity,http://www.ifomis.org/bfo/1.1/snap#MaterialEntity,1
https://w3id.org/reproduceme#Filter,http://www.owl-ontologies.com/Ontology1184060740.owl#Class_25,0
https://w3id.org/reproduceme#Experiment,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42790,0
https://w3id.org/reproduceme#Organism,http://purl.obolibrary.org/obo/OBI_0100026,0
https://w3id.org/reproduceme#Solution,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70830,0
https://w3id.org/reproduceme#Protein,http://purl.obolibrary.org/obo/CHEBI_36080,0
https://w3id.org/reproduceme#Reagent,http://purl.obolibrary.org/obo/CHEBI_33893,0
https://w3id.org/reproduceme#Software,http://purl.obolibrary.org/obo/ERO_0000071,0
https://w3id.org/reproduceme#Dataset,http://purl.obolibrary.org/obo/IAO_0000100,0
